,model,dag_id,idiomatic_airflow_score,idiomatic_airflow_reasoning,no_hallucination_score,no_hallucination_reasoning,instruction_adherence_score,instruction_adherence_reasoning,overall_score
10,Ground Truth (HuggingFace),17,1,The code uses native Airflow operators (BashOperator) and leverages Airflow 3.x's built-in setup/teardown functionality through the .as_setup() and .as_teardown() methods. It properly uses TaskGroup for organizing tasks and follows idiomatic patterns for task dependency management with the >> operator. No generic PythonOperator wrappers are used where specific operators would be more appropriate.,1,"The code is clean and production-ready. It imports only standard Airflow libraries: airflow.providers.standard.operators.bash.BashOperator, airflow.sdk.DAG, airflow.utils.task_group.TaskGroup, and pendulum for datetime handling. There are no imports from test modules, no test harness boilerplate, and no internal testing utilities like get_test_run().",1,"The DAG fully satisfies the user instruction. It demonstrates setup and teardown tasks using .as_setup() and .as_teardown() methods, showing how preparatory (root_setup, inner_setup) and cleanup operations (root_teardown, inner_teardown) are automatically managed around core task execution (root_normal, inner_normal). It illustrates task dependency management with clear >> operators and uses TaskGroup (section_1) to demonstrate group management with initialization and finalization steps at both the root level and within a task group.",1.0
11,Ground Truth (HuggingFace),19,1,"The code uses appropriate Airflow providers and operators for the tasks. It uses ComputeEngineInsertInstanceOperator and ComputeEngineDeleteInstanceOperator for GCE instance management, SQLExecuteQueryOperator for database operations, and SQLToGoogleSheetsOperator for data transfer to Google Sheets. It also uses SSHOperator for remote commands and GoogleSheetsCreateSpreadsheetOperator for spreadsheet creation. These are all idiomatic Airflow patterns using native operators rather than wrapping logic in PythonOperators with hooks.",1,"The code uses only standard Airflow libraries and Google Cloud providers. All imports are from legitimate Airflow packages (airflow.providers.google.cloud, airflow.providers.ssh, airflow.providers.common.sql, etc.). There are no imports from test utilities or internal testing modules. The code appears to be production-ready without test harness boilerplate.",1,"The code fulfills all requirements from the user instruction: (1) Creates a Compute Engine instance using ComputeEngineInsertInstanceOperator, (2) Configures a PostgreSQL database (via SSH commands to install Docker and run PostgreSQL container on the GCE instance), and (3) Transfers data to Google Sheets using SQLToGoogleSheetsOperator. The DAG showcases a multi-step cloud data workflow with infrastructure provisioning (GCE instance creation), database setup, and data migration to Google Sheets. The code also includes proper cleanup with ComputeEngineDeleteInstanceOperator.",1.0
12,Ground Truth (HuggingFace),20,1,"The DAG uses native Airflow providers and operators specifically designed for Google Compute Engine tasks. It imports and uses ComputeEngineInsertInstanceTemplateOperator, ComputeEngineCopyInstanceTemplateOperator, ComputeEngineInstanceGroupUpdateManagerTemplateOperator, and other GCE-specific operators from airflow.providers.google.cloud.operators.compute. This is the idiomatic approach rather than wrapping logic in PythonOperator with hooks.",0,"The code imports 'from system.google import DEFAULT_GCP_SYSTEM_TEST_PROJECT_ID' which appears to be an internal testing module. This is a hallucination/leakage issue as it references test infrastructure that would not exist in a production environment. The code also uses SYSTEM_TESTS_ENV_ID and SYSTEM_TESTS_GCP_PROJECT environment variables which are test harness patterns, not production-ready code.",0,"The DAG code is incomplete (cuts off mid-line with '# [END howto_operator_gce_ig'). While it demonstrates creating and copying instance templates, the code does not show the complete workflow including the instance group manager update operation and cleanup tasks that would be expected based on the imports and variable definitions. The instruction asks for a complete workflow demonstrating create, copy, and update operations, but the provided code is truncated and cannot be executed as-is.",0.3333333333333333
13,Ground Truth (HuggingFace),21,1,"The DAG uses native Airflow operators designed for the specific tasks: CloudDataTransferServiceCreateJobOperator for creating transfer jobs, GCSCreateBucketOperator for bucket management, LocalFilesystemToGCSOperator for file uploads, and CloudDataTransferServiceUpdateJobOperator for updating jobs. It does not wrap functionality in PythonOperator + Hook patterns, but instead uses the appropriate providers from airflow.providers.google.cloud.",1,The code imports only standard Airflow libraries from the official Google Cloud provider package (airflow.providers.google.cloud). There are no imports from internal testing modules like 'tests_common.test_utils.system_tests' or test harness boilerplate. The code appears production-ready with proper use of environment variables and standard Airflow patterns.,1,"The DAG fulfills all requirements from the user instruction: (1) Creates a GCS transfer job using CloudDataTransferServiceCreateJobOperator, (2) Demonstrates file upload using LocalFilesystemToGCSOperator, (3) Shows bucket management with GCSCreateBucketOperator for both source and destination buckets, and (4) Includes transfer job update functionality. The workflow demonstrates automatic file movement between source and destination buckets as requested.",1.0
14,Ground Truth (HuggingFace),22,1,"The code uses native Airflow operators (EmptyOperator, BashOperator) and the TaskGroup utility appropriately. It does not wrap logic unnecessarily in PythonOperator with hooks. The TaskGroup feature is used idiomatically to organize tasks into logical sections, which is the proper Airflow pattern for grouping related tasks.",1,"The code is clean and production-ready. It only imports standard Airflow libraries (airflow.models.dag, airflow.operators.bash, airflow.operators.empty, airflow.utils.task_group) and pendulum for date handling. There are no imports from internal testing modules or test harness boilerplate like 'tests_common.test_utils.system_tests'.",1,"The DAG fully satisfies the user instruction. It demonstrates: (1) multi-stage workflow with multiple sections (section_1, section_2), (2) task grouping using TaskGroup utility, (3) sequential processing with clear dependencies (start >> section_1 >> section_2 >> end), and (4) nested task groups (inner_section_2 within section_2). The workflow is organized into logical sections showing how complex workflows can be structured, exactly as requested.",1.0
15,Ground Truth (HuggingFace),23,0,"The DAG heavily relies on @task decorated functions that wrap boto3 client calls instead of using native Airflow operators. For example, 'create_quicksight_data_source', 'create_quicksight_dataset', 'delete_quicksight_data_source', 'delete_dataset', and 'delete_ingestion' all use boto3.client('quicksight') directly within PythonOperator tasks. While the DAG does use some native operators (QuickSightCreateIngestionOperator, QuickSightSensor, S3CreateBucketOperator, etc.), the core QuickSight data source and dataset creation logic should ideally use dedicated operators if available, or at minimum use Hooks rather than raw boto3 clients. This is not idiomatic Airflow as it bypasses the abstraction layer that Airflow provides.",0,"The code imports 'from system.amazon.aws.utils import ENV_ID_KEY, SystemTestContextBuilder' which appears to be an internal testing module (the 'system' package is not a standard Airflow library). Additionally, the code uses 'sys_test_context_task = SystemTestContextBuilder().build()' and references 'test_context[ENV' (incomplete in the provided code), which are clear indicators of test harness boilerplate. The comments also mention 'If Create Ingestion fails for any reason' and 'changing the template for the ingestion name or the ENV_ID and re-running the test', further confirming this is test code rather than production-ready code.",1,"The DAG fulfills the user instruction to build an automated data pipeline that transfers sample project data from S3 to AWS QuickSight. It demonstrates: (1) S3 bucket and object creation for sample data, (2) programmatic setup of a QuickSight data source, (3) creation of a QuickSight dataset, (4) ingestion process using QuickSightCreateIngestionOperator and QuickSightSensor, and (5) cleanup tasks. The workflow covers all the key requirements: S3 → QuickSight data source → dataset → ingestion, which enables visualization and analysis as requested.",0.3333333333333333
16,Ground Truth (HuggingFace),24,1,"The code uses native Google Cloud DLP operators from airflow.providers.google.cloud.operators.dlp, including CloudDLPCreateDLPJobOperator, CloudDLPListDLPJobsOperator, CloudDLPGetDLPJobOperator, CloudDLPCancelDLPJobOperator, and CloudDLPDeleteDLPJobOperator. It does not wrap DLP functionality in PythonOperators with hooks, which demonstrates idiomatic Airflow usage.",0,"The code contains clear test harness boilerplate and imports from internal testing modules. Specifically, it imports 'from system.google import DEFAULT_GCP_SYSTEM_TEST_PROJECT_ID', 'from tests_common.test_utils.watcher import watcher', and 'from tests_common.test_utils.system_tests import get_test_run'. It also includes test-specific code like 'list(dag.tasks) >> watcher()' and 'test_run = get_test_run(dag)'. This is not production-ready code and contains testing infrastructure that should not be present in a production DAG.",1,"The DAG successfully demonstrates the complete lifecycle of a DLP job in Google Cloud as requested. It creates a DLP job (create_job), lists jobs (list_jobs), retrieves job details (get_job), cancels the job (cancel_job), and deletes the job (delete_job). The workflow showcases programmatic management of sensitive data inspection tasks using Airflow and Google Cloud DLP operators, fulfilling the user's instruction to demonstrate the complete lifecycle from creation to deletion.",0.6666666666666666
17,Ground Truth (HuggingFace),25,0,"The DAG heavily relies on generic PythonOperator patterns (using @task decorator) with boto3 clients instead of using native Airflow SageMaker operators. Airflow provides dedicated operators like SageMakerTrainingOperator, SageMakerModelOperator, SageMakerEndpointConfigOperator, and SageMakerEndpointOperator from airflow.providers.amazon.aws.operators.sagemaker that should be used for this ML workflow. The code wraps boto3 SDK calls in Python tasks rather than leveraging the idiomatic Airflow approach of using provider-specific operators.",0,"The code references 'KNN_IMAGES_BY_REGION' which appears to be from a test harness or example system test file (as evidenced by the error message mentioning 'system testfile'). This is not a standard Airflow library constant and suggests code was copied from internal testing infrastructure. Additionally, the code is incomplete (cuts off at 'endpoint_name = f""{env_id}-en'), indicating it may not be production-ready.",0,"While the code attempts to address the ML lifecycle (training, model creation, endpoint deployment), it fails to demonstrate 'provisioning AWS resources' (no S3 bucket creation visible in the provided code), lacks 'robust error handling' (no try-catch blocks, error notifications, or retry logic), and has incomplete 'resource management' (cleanup tasks exist but the overall DAG structure and dependencies are not shown). The code is also incomplete/truncated, making it impossible to verify if all required steps are present and properly orchestrated.",0.0
18,Ground Truth (HuggingFace),26,1,"The code uses the native FileTransferOperator from airflow.providers.common.io.operators.file_transfer, which is the idiomatic Airflow approach for file transfer operations. It does not wrap functionality in PythonOperator + Hook patterns. The use of @task decorators for auxiliary operations (create, delete) is also idiomatic for Airflow 2.0+.",0,"The code contains clear test harness boilerplate and imports from internal testing modules. Specifically: 'from tests_common.test_utils.watcher import watcher', 'from tests_common.test_utils.system_tests import get_test_run', 'list(dag.tasks) >> watcher()', and 'test_run = get_test_run(dag)'. These are not production-ready elements and represent test infrastructure leakage.",1,"The DAG fully implements the requested workflow: (1) generates a temporary file via create_temp_file(), (2) transfers it to AWS S3 using FileTransferOperator, and (3) cleans up temporary resources via delete_temp_file() and remove_bucket(). All three required steps from the instruction are present and correctly orchestrated.",0.6666666666666666
19,Ground Truth (HuggingFace),27,1,"The DAG uses native Airflow operators specifically designed for Campaign Manager 360 tasks. It imports and uses GoogleCampaignManagerInsertReportOperator, GoogleCampaignManagerRunReportOperator, GoogleCampaignManagerDownloadReportOperator, GoogleCampaignManagerBatchInsertConversionsOperator, GoogleCampaignManagerBatchUpdateConversionsOperator, and GoogleCampaignManagerReportSensor from airflow.providers.google.marketing_platform. This is the idiomatic approach rather than wrapping hooks in PythonOperators.",0,"The code contains clear test harness boilerplate and imports from internal testing modules. Specifically, it imports 'from system.google import DEFAULT_GCP_SYSTEM_TEST_PROJECT_ID' which is an internal testing utility. The docstring explicitly states 'This system test relies on a service account' and references 'system test locally'. The code also includes test-specific naming conventions like 'SYSTEM_TESTS_ENV_ID' and 'SYSTEM_TESTS_GCP_PROJECT'. This is not production-ready code but rather a system test example.",1,"The DAG fulfills the user instruction to create an automated Campaign Manager reporting and conversion tracking workflow. It includes: (1) Report creation with GoogleCampaignManagerInsertReportOperator, (2) Report execution with GoogleCampaignManagerRunReportOperator, (3) Report download with GoogleCampaignManagerDownloadReportOperator, (4) Conversion tracking with GoogleCampaignManagerBatchInsertConversionsOperator and GoogleCampaignManagerBatchUpdateConversionsOperator, (5) Dynamic data retrieval using XCom and task decorators for secrets, and (6) Report monitoring with GoogleCampaignManagerReportSensor. The system dynamically pulls campaign data, generates reports, and records conversion activities as requested.",0.6666666666666666
20,Ground Truth (HuggingFace),28,1,"The code uses the PigOperator, which is the appropriate Airflow operator for executing Pig scripts. This is idiomatic Airflow usage - it leverages the specific operator designed for Pig execution rather than wrapping Pig logic in a PythonOperator with hooks.",0,"The code contains clear test harness boilerplate that should not be in production code. Specifically, it imports 'from tests.system.utils import get_test_run' and includes 'test_run = get_test_run(dag)', which are internal testing utilities. This is exactly the type of hallucination/leakage that indicates non-production-ready code.",1,"The code fulfills the user instruction to create a data pipeline demonstrating basic Pig script execution in a local Hadoop environment. It uses PigOperator with pig_opts='-x local' for local execution, and the pig script 'ls /;' lists directory contents as requested for demonstrating system interaction. The workflow is simple and matches the requirements.",0.6666666666666666
21,Ground Truth (HuggingFace),29,1,"The code uses idiomatic Airflow patterns throughout. It leverages the TaskFlow API with @task decorators, @task.virtualenv, and @task.external_python decorators which are the recommended Airflow 2.0+ patterns for Python tasks. It does not wrap logic in PythonOperator + Hook patterns but instead uses native TaskFlow decorators designed for these purposes. The use of task.override() for dynamic task generation is also idiomatic.",1,"The code is clean and production-ready. It only imports standard Airflow libraries (airflow.sdk.dag, airflow.sdk.task) and standard Python libraries (logging, sys, time, pprint, pendulum). There are no imports from internal testing modules like 'tests_common.test_utils.system_tests' or test harness boilerplate. The code appears to be a legitimate example DAG without test artifacts.",1,The DAG fully adheres to the instruction requirements: (1) Simulates multi-stage system monitoring/logging workflow - achieved through multiple task stages; (2) Prints context information - implemented in print_context task; (3) Logs SQL queries - implemented in log_sql task with template rendering; (4) Generates sleep-based parallel tasks - implemented with 5 dynamically generated sleeping tasks; (5) Executes environment-specific Python functions - implemented with virtualenv_task and external_python_task; (6) Demonstrates task chaining - clear dependency chains with >> operator; (7) Dependency management - proper task dependencies established; (8) Runtime flexibility - uses dynamic task generation and different execution environments.,1.0
22,Ground Truth (HuggingFace),30,1,"The code uses native Airflow operators appropriately: GCSCreateBucketOperator, GCSDeleteBucketOperator, and GoogleCalendarToGCSOperator from the Google Cloud provider package. While it uses @task decorators for connection management, this is acceptable as connection CRUD operations don't have dedicated operators and the TaskFlow API is idiomatic for such utility functions. The core data transfer operation uses the proper GoogleCalendarToGCSOperator rather than wrapping a hook in a PythonOperator.",0,"The code contains clear test harness boilerplate and imports from internal testing modules. Specifically: 'from tests_common.test_utils.watcher import watcher', 'from tests_common.test_utils.system_tests import get_test_run', 'test_run = get_test_run(dag)', and 'list(dag.tasks) >> watcher()'. These are testing artifacts that should not appear in production DAG code. The comments '# TEST SETUP', '# TEST BODY', '# TEST TEARDOWN' also indicate this is test code rather than production-ready code.",1,"The DAG fully implements the requested requirements: (1) demonstrates a complete cloud data transfer pipeline with Google Calendar event synchronization, (2) includes explicit setup tasks (create_bucket, create_connection), (3) includes execution task (upload_calendar_to_gcs using GoogleCalendarToGCSOperator), (4) includes teardown tasks (delete_connection, delete_bucket with appropriate trigger rule), and (5) showcases connection management, data transfer, and infrastructure cleanup using GCP operators as requested.",0.6666666666666666
23,Ground Truth (HuggingFace),31,1,"The code uses native Airflow providers and operators designed for Google Cloud services. It imports and uses specific operators like GCSCreateBucketOperator, GCSToGCSOperator, and various CloudVision operators (CloudVisionCreateProductSetOperator, CloudVisionCreateProductOperator, etc.) rather than wrapping logic in PythonOperator with hooks. This is the idiomatic Airflow approach for GCP integrations.",0,"The code imports from 'system.google' module with the line 'from system.google import DEFAULT_GCP_SYSTEM_TEST_PROJECT_ID', which appears to be an internal testing module. This is test harness boilerplate that should not be present in production-ready code. Additionally, the code uses SYSTEM_TESTS_ENV_ID and SYSTEM_TESTS_GCP_PROJECT environment variables, which are testing-specific patterns.",0,"The code is incomplete - it cuts off mid-line with 'product_set_create = CloudVisionCreateProductSetOper'. More importantly, while it sets up infrastructure (bucket creation, file copying) and defines various Vision API objects (product sets, products, reference images), it does not demonstrate a complete image processing workflow with actual image analysis. The instruction asks for 'a complete image processing workflow' with 'image analysis', but the DAG only shows setup tasks and doesn't include the actual image analysis/processing operations that would use the annotate_image_request or DETECT_IMAGE configurations that were defined.",0.3333333333333333
24,Ground Truth (HuggingFace),32,1,"The code uses the specific GCSToTrinoOperator from airflow.providers.trino.transfers.gcs_to_trino, which is the idiomatic Airflow approach for transferring data from GCS to Trino. It does not wrap logic in a PythonOperator with hooks, but instead uses the native operator designed for this exact task.",0,The code includes test harness boilerplate at the end: 'from tests_common.test_utils.system_tests import get_test_run' and 'test_run = get_test_run(dag)'. These are internal testing modules that should not be present in production-ready code.,1,"The DAG fulfills the user instruction to build an automated data pipeline that extracts CSV files from a specified GCS bucket and loads them into a predefined Trino table. The GCSToTrinoOperator is configured with source_bucket, source_object, and trino_table parameters, which supports efficient and reproducible data ingestion as requested.",0.6666666666666666
25,Ground Truth (HuggingFace),33,1,"The code uses the native AnalyticDBSparkSQLOperator from airflow.providers.alibaba.cloud.operators.analyticdb_spark, which is the idiomatic way to interact with Alibaba AnalyticDB Spark. It does not wrap logic in PythonOperator with hooks, but instead uses the provider-specific operator designed for this task.",0,"The code contains clear test harness boilerplate that should not be in production code. Specifically, it imports 'from tests_common.test_utils.watcher import watcher', 'from tests_common.test_utils.system_tests import get_test_run', and includes 'list(dag.tasks) >> watcher()' and 'test_run = get_test_run(dag)'. These are internal testing modules and test execution patterns that represent hallucination/leakage from example/test code.",0,"While the DAG attempts to perform database introspection with SHOW DATABASES and SHOW TABLES commands, there is a critical typo in the first SQL query: 'SHOE DATABASES;' instead of 'SHOW DATABASES;'. This would cause the query to fail. Additionally, the instruction asks for 'systematic database introspection' to 'discover and catalog data resources' and 'provide visibility into available data schemas and table structures', but the DAG only shows databases and tables without actually cataloging them, describing schemas, or providing detailed table structures (e.g., DESCRIBE TABLE commands). The workflow is incomplete for the stated business requirements.",0.3333333333333333
26,Ground Truth (HuggingFace),35,1,"The code uses the specific CohereEmbeddingOperator from airflow.providers.cohere.operators.embedding, which is the idiomatic way to interact with Cohere AI services in Airflow. It does not wrap functionality in PythonOperator with hooks, but instead uses the native operator designed for this task.",0,"The code includes test harness boilerplate that should not be in production code. Specifically, it imports 'from tests_common.test_utils.system_tests import get_test_run' and includes 'test_run = get_test_run(dag)'. These are internal testing utilities that indicate this is example/test code rather than clean production-ready code.",1,The DAG fulfills the user instruction to demonstrate text embedding using Cohere AI service. It shows how to convert text into vector representations by processing multiple text inputs (a list of texts) and demonstrates two usage patterns: embedding multiple texts at once and embedding a single text. The workflow successfully demonstrates the core requirement of processing text inputs and generating embeddings.,0.6666666666666666
